"PartNumber","PartDescription","Location","Qty","UOM","Cost","QbClass","Date","Note","Tracking-Lot Number","Tracking-Revision Level","Tracking-Expiration Date"
"10CL","10"" Clay","Vista-E18","190","ea","3.03",,,,,,
"10CL","10"" Clay","Vista-E18","50","ea","3.03",,,,,,
"10GLB","10"" Glazed Low Bowl","Vista-E20","3540.20","ea","8.70",,,,,,
"10GLB","10"" Glazed Low Bowl","Vista-E20","30.60","ea","8.70",,,,,,
